This file was created by CMPT_ME_BEME_RETS using the 200508 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
192607    2.65   -2.38   -3.03    0.22
192608    2.52   -1.28    4.35    0.25
192609    0.02   -1.30    0.09    0.23
192610   -3.11   -0.10    0.59    0.32
192611    2.45   -0.37   -0.31    0.31
192612    2.65   -0.06   -0.13    0.28
192701   -0.07   -0.17    5.07    0.25
192702    4.26    0.42    3.05    0.26
192703    0.37   -1.79   -3.01    0.30
192704    0.43    0.53    1.22    0.25
192705    5.41    0.44    2.78    0.30
192706   -2.29    0.97   -1.61    0.26
192707    7.27   -3.17   -1.24    0.30
192708    2.27   -0.87   -3.38    0.28
192709    4.48   -3.13   -0.82    0.21
192710   -4.20    2.14   -4.11    0.25
192711    6.72    2.27   -0.33    0.21
192712    2.09    0.81   -0.96    0.22
192801   -0.54    4.34   -1.44    0.25
192802   -1.69   -1.91   -0.81    0.33
192803    8.69   -0.07   -1.48    0.29
192804    4.07    3.93    2.82    0.22
192805    1.63    2.78   -3.50    0.32
192806   -4.91   -3.57    0.02    0.31
192807    0.71   -1.55   -0.55    0.32
192808    6.48   -1.84   -2.52    0.32
192809    2.83    2.14    0.88    0.27
192810    1.67    2.30   -2.34    0.41
192811   11.69   -1.62    2.92    0.38
192812    0.32   -0.87   -0.21    0.06
192901    4.98   -2.92   -2.04    0.34
192902   -0.46    1.06    0.97    0.36
192903   -1.08   -3.98    0.77    0.34
192904    1.42   -0.68    1.24    0.36
192905   -6.02   -7.50    1.24    0.44
192906    9.38   -1.53   -2.88    0.52
192907    4.23   -4.06    2.10    0.33
192908    8.02   -9.22    0.11    0.40
192909   -5.30    1.56   -0.97    0.35
192910  -20.03   -4.06    8.91    0.46
192911  -12.64   -1.58    5.41    0.37
192912    1.41   -4.71   -0.58    0.37
193001    5.41    3.94   -2.67    0.14
193002    2.34    0.55    0.19    0.30
193003    7.29    4.03   -0.13    0.35
193004   -2.39   -1.16   -1.90    0.21
193005   -1.54   -1.68   -1.61    0.26
193006  -16.01   -2.93    2.39    0.27
193007    3.89    0.50   -2.38    0.20
193008    0.22   -2.04   -1.00    0.09
193009  -12.66   -2.08   -4.48    0.22
193010   -8.49   -1.30   -0.75    0.09
193011   -2.72    2.25   -2.89    0.13
193012   -7.89   -5.03   -5.08    0.14
193101    6.06    3.51    7.64    0.15
193102   10.86    2.98    2.59    0.04
193103   -6.57    2.81   -3.28    0.13
193104   -9.93   -4.72   -3.86    0.08
193105  -13.39    5.85   -6.37    0.09
193106   13.69   -5.09   10.91    0.08
193107   -6.44    1.82   -3.82    0.06
193108    0.05   -1.00   -2.59    0.03
193109  -29.01   -0.50   -6.52    0.03
193110    7.97    0.02    0.12    0.10
193111   -9.11    4.62   -5.33    0.17
193112  -13.61    0.08   -9.54    0.12
193201   -1.30    3.43    9.91    0.23
193202    5.46   -1.33   -3.85    0.23
193203  -11.09    2.19   -1.82    0.16
193204  -18.11    1.47   -1.11    0.11
193205  -20.75    5.41   -3.75    0.06
193206   -0.96   -2.47    8.09    0.02
193207   33.11   -7.01   35.92    0.03
193208   36.50   19.40   24.75    0.03
193209   -3.18   -2.47   -6.63    0.03
193210  -13.08   -2.83   -9.90    0.02
193211   -5.58    1.55  -12.32    0.02
193212    4.47   -9.93   -6.90    0.01
193301    0.96   -0.17    7.88    0.01
193302  -13.26   -1.51    1.29   -0.03
193303    1.56    2.39    2.16    0.04
193304   38.17    5.14   17.17    0.10
193305   21.17   37.81   15.00    0.04
193306   13.35    8.21   -3.09    0.02
193307   -9.63   -0.32    1.27    0.02
193308   12.14   -5.47    3.39    0.03
193309  -10.59    0.04  -13.22    0.02
193310   -8.26    0.03   -8.16    0.01
193311    9.94   -6.22    1.20    0.02
193312    1.99   -0.25   -1.60    0.02
193401   12.94   12.17   16.99    0.05
193402   -2.36    5.31    1.91    0.02
193403    0.47    2.43   -2.90    0.02
193404   -1.81    2.91   -4.93    0.01
193405   -7.08   -0.09   -7.35    0.01
193406    2.51   -2.53   -2.32    0.01
193407  -10.83   -6.19  -11.67    0.01
193408    5.94    4.55    1.16    0.01
193409   -0.30   -1.80   -0.52    0.01
193410   -2.04    1.71   -3.90    0.01
193411    8.40    7.19   -4.99    0.01
193412    0.40    2.82   -3.10    0.01
193501   -3.22    1.09   -2.33    0.01
193502   -2.00    0.44   -7.25    0.02
193503   -3.75   -3.82   -5.13    0.01
193504    8.94   -1.98    5.26    0.01
193505    3.47   -3.94    1.62    0.01
193506    5.48   -2.80   -0.05    0.01
193507    7.40    2.76    5.49    0.01
193508    2.78    7.03    4.46    0.01
193509    2.40    0.86   -4.27    0.01
193510    7.04    2.29   -0.28    0.01
193511    5.16    5.64   10.58    0.02
193512    4.60    0.84    0.31    0.01
193601    6.59    6.44   10.15    0.01
193602    2.60    0.74    3.86    0.01
193603    0.85    1.07   -2.14    0.02
193604   -7.87   -6.77   -2.17    0.02
193605    5.03    0.73    2.52    0.02
193606    2.57   -3.02   -0.87    0.03
193607    6.38    1.19    2.00    0.01
193608    1.11   -0.07    3.64    0.02
193609    1.46    3.37   -0.61    0.01
193610    6.98   -2.22    1.85    0.02
193611    3.41    8.38   -1.69    0.01
193612    0.12    3.02    5.59    0.00
193701    3.26    4.25    3.52    0.01
193702    1.31    0.37    5.50    0.02
193703   -0.43   -2.11    7.08    0.01
193704   -7.48   -3.33   -4.93    0.03
193705   -0.87   -0.59   -3.54    0.06
193706   -4.10   -3.30   -3.00    0.03
193707    8.39    1.82    0.10    0.03
193708   -4.56    0.21   -2.44    0.02
193709  -13.54   -6.77   -4.77    0.04
193710   -9.50    0.27   -1.71    0.02
193711   -8.36   -3.24    0.11    0.02
193712   -4.08   -7.87   -1.43    0.00
193801    0.84    5.83   -1.87    0.00
193802    5.73    0.27   -1.82    0.00
193803  -23.67   -3.76   -4.85   -0.01
193804   14.54    6.57    0.07    0.01
193805   -3.91   -2.33   -1.02    0.00
193806   23.62    3.50    2.61    0.00
193807    7.19    6.70    0.54   -0.01
193808   -2.73   -2.40   -4.12    0.00
193809    0.87   -2.86   -1.30    0.02
193810    7.74    6.85    4.16    0.01
193811   -1.77   -2.40   -0.69   -0.06
193812    4.06   -2.00    1.07    0.00
193901   -5.96   -1.43   -3.45   -0.01
193902    3.47    0.35    3.09    0.01
193903  -11.91   -5.31   -8.14   -0.01
193904   -0.26    2.02    0.36    0.00
193905    6.85    3.83   -0.28    0.01
193906   -5.33   -1.68   -5.35    0.01
193907   10.12    4.65    0.23    0.00
193908   -6.60   -4.52   -2.65   -0.01
193909   15.99   18.30   21.99    0.01
193910   -0.41    0.30   -4.40    0.00
193911   -3.66   -4.20   -6.34    0.00
193912    3.01    0.71   -4.09    0.00
