This file was created by CMPT_ME_BEME_RETS using the 201209 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
192607    2.62   -2.16   -2.92    0.22
192608    2.56   -1.49    4.88    0.25
192609    0.36   -1.38   -0.01    0.23
192610   -3.43    0.04    0.71    0.32
192611    2.44   -0.24   -0.31    0.31
192612    2.77   -0.01   -0.10    0.28
192701   -0.11   -0.30    4.79    0.25
192702    4.32   -0.24    3.35    0.26
192703    0.32   -1.87   -2.58    0.30
192704    0.41    0.29    0.95    0.25
192705    5.39    1.53    5.07    0.30
192706   -2.30    0.65   -2.04    0.26
192707    7.27   -3.54   -0.86    0.30
192708    2.42   -0.75   -4.14    0.28
192709    4.69   -3.44   -1.08    0.21
192710   -4.44    2.04   -4.45    0.25
192711    6.66    2.56   -0.02    0.21
192712    2.15    1.06   -0.73    0.22
192801   -0.60    4.40   -1.32    0.25
192802   -1.77   -1.96   -0.63    0.33
192803    8.80   -0.24   -1.41    0.29
192804    4.10    4.08    3.42    0.22
192805    1.52    3.06   -3.70    0.32
192806   -4.84   -3.59    0.07    0.31
192807    0.69   -1.63   -0.07    0.32
192808    6.64   -2.14   -2.12    0.32
192809    2.87    1.77    1.35    0.27
192810    1.47    2.71   -2.63    0.41
192811   11.75   -2.20    3.30    0.38
192812    0.47   -1.09   -0.02    0.06
192901    4.87   -2.80   -1.75    0.34
192902   -0.38    0.87    0.94    0.36
192903   -1.14   -4.36    1.00    0.34
192904    1.32   -0.82    0.46    0.36
192905   -6.35   -7.09    0.71    0.44
192906    9.45   -1.74   -2.48    0.52
192907    4.20   -4.38    1.99    0.33
192908    8.16   -8.79   -0.49    0.40
192909   -5.35    1.42   -1.12    0.35
192910  -20.01   -3.77    8.95    0.46
192911  -12.70   -2.20    4.70    0.37
192912    1.43   -4.63    0.25    0.37
193001    5.52    4.46   -2.29    0.14
193002    2.47    0.70   -0.55    0.30
193003    7.15    3.71    0.37    0.35
193004   -2.30   -0.67   -1.96    0.21
193005   -1.59   -1.78   -1.57    0.26
193006  -16.06   -3.33    2.11    0.27
193007    3.77    0.56   -2.54    0.20
193008    0.32   -2.13   -0.88    0.09
193009  -12.62   -2.17   -4.45    0.22
193010   -8.79   -1.02   -0.61    0.09
193011   -2.73    2.23   -2.90    0.13
193012   -7.98   -4.97   -5.01    0.14
193101    6.10    3.79    7.56    0.15
193102   10.90    2.71    2.22    0.04
193103   -6.53    2.80   -3.08    0.13
193104   -9.93   -4.87   -3.39    0.08
193105  -13.38    5.85   -6.31    0.09
193106   13.72   -5.66   10.58    0.08
193107   -6.56    1.82   -3.76    0.06
193108    0.20   -1.14   -2.47    0.03
193109  -29.04    0.09   -6.65    0.03
193110    7.82   -1.47    0.45    0.10
193111   -9.05    5.19   -6.05    0.17
193112  -13.46   -0.52   -8.96    0.12
